m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
3072,16,1536,1,1,2,1
3072,32,1536,2,64,16,128
3072,48,1536,2,64,32,128
3072,64,1536,2,64,32,128
3072,80,1536,2,64,48,128
3072,96,1536,2,64,48,128
3072,112,1536,2,64,64,128
3072,128,1536,2,64,64,128
7168,16,2048,1,1,1,1
7168,32,2048,2,64,32,128
7168,48,2048,2,64,48,128
7168,64,2048,1,1,2,1
7168,80,2048,2,64,48,128
7168,96,2048,1,1,2,1
7168,112,2048,2,128,48,128
7168,128,2048,1,2,3,1
4608,16,7168,1,1,1,4
4608,32,7168,1,1,1,4
4608,48,7168,1,1,1,4
4608,64,7168,1,2,2,4
4608,80,7168,1,2,2,4
4608,96,7168,1,2,2,4
4608,112,7168,2,64,64,128
4608,128,7168,1,2,2,2
7168,16,2304,1,1,1,2
7168,32,2304,1,1,1,1
7168,48,2304,1,1,1,1
7168,64,2304,1,1,2,1
7168,80,2304,1,1,2,1
7168,96,2304,1,1,2,1
7168,112,2304,2,128,48,128
7168,128,2304,2,128,48,128
7168,16,256,2,128,16,128
7168,32,256,1,2,1,1
7168,48,256,2,64,48,128
7168,64,256,2,64,32,128
7168,80,256,2,64,48,128
7168,96,256,2,128,32,128
7168,112,256,2,128,48,128
7168,128,256,2,128,48,128
512,16,7168,1,1,2,4
512,32,7168,1,1,3,4
512,48,7168,1,1,3,4
512,64,7168,1,1,4,4
512,80,7168,1,1,3,4
512,96,7168,1,1,3,4
512,112,7168,1,1,4,3
512,128,7168,1,1,4,4
7168,16,5120,1,1,1,4
7168,32,5120,1,2,1,3
7168,48,5120,1,2,1,3
7168,64,5120,1,2,1,3
7168,80,5120,1,2,1,3
7168,96,5120,1,1,2,1
7168,112,5120,2,128,48,128
7168,128,5120,2,128,48,128
7168,144,5120,2,128,48,128
7168,160,5120,1,2,3,1
7168,176,5120,1,2,3,1
7168,192,5120,1,2,3,1
7168,208,5120,1,2,3,1
7168,224,5120,1,2,3,1
7168,240,5120,1,2,3,1
7168,256,5120,1,2,3,1
5120,16,5120,1,1,1,3
5120,32,5120,1,1,1,3
5120,48,5120,1,1,1,2
5120,64,5120,2,64,64,128
5120,80,5120,2,64,48,128
5120,96,5120,2,64,48,128
5120,112,5120,2,64,64,128
5120,128,5120,2,64,64,128
5120,144,5120,1,2,2,1
5120,160,5120,1,2,2,1
5120,176,5120,2,128,96,128
5120,192,5120,2,128,96,128
5120,208,5120,2,128,112,128
5120,224,5120,2,128,112,128
5120,240,5120,2,128,48,128
5120,256,5120,2,128,128,128
55296,16,5120,1,1,1,1
55296,32,5120,1,2,1,1
55296,48,5120,1,2,1,1
55296,64,5120,1,2,1,1
55296,80,5120,1,2,1,1
55296,96,5120,1,2,1,1
55296,112,5120,1,2,1,1
55296,128,5120,1,2,1,1
55296,144,5120,1,2,2,1
55296,160,5120,1,2,2,1
55296,176,5120,1,2,2,1
55296,192,5120,1,2,2,1
55296,208,5120,1,2,2,1
55296,224,5120,1,2,2,1
55296,240,5120,1,2,3,1
55296,256,5120,1,2,2,1
5120,16,27648,1,1,1,4
5120,32,27648,1,2,1,4
5120,48,27648,1,2,1,4
5120,64,27648,1,2,1,4
5120,80,27648,1,2,1,4
5120,96,27648,1,2,1,4
5120,112,27648,1,2,1,4
5120,128,27648,1,2,1,4
5120,144,27648,1,2,1,2
5120,160,27648,1,2,2,2
5120,176,27648,1,2,2,2
5120,192,27648,1,2,2,2
5120,208,27648,1,2,2,2
5120,224,27648,1,2,2,2
5120,240,27648,1,2,2,2
5120,256,27648,1,2,2,2
8192,16,5120,1,2,1,3
8192,32,5120,1,2,1,3
8192,48,5120,1,2,1,3
8192,64,5120,1,2,1,1
8192,80,5120,1,2,1,1
8192,96,5120,1,2,3,1
8192,112,5120,1,2,3,1
8192,128,5120,1,2,3,1
8192,144,5120,1,2,3,1
8192,160,5120,1,2,3,1
8192,176,5120,1,2,3,1
8192,192,5120,1,2,3,1
8192,208,5120,1,2,3,1
8192,224,5120,1,2,3,1
8192,240,5120,1,2,3,1
8192,256,5120,1,2,3,1
1024,16,5120,1,1,1,4
1024,32,5120,1,1,2,3
1024,48,5120,1,1,3,4
1024,64,5120,1,1,2,3
1024,80,5120,1,1,3,2
1024,96,5120,1,1,3,2
1024,112,5120,1,1,2,3
1024,128,5120,1,1,2,3
1024,144,5120,1,1,3,2
1024,160,5120,1,1,3,2
1024,176,5120,2,64,32,128
1024,192,5120,1,1,3,2
1024,208,5120,2,64,48,128
1024,224,5120,2,64,48,128
1024,240,5120,2,64,48,128
1024,256,5120,2,64,48,128
5120,16,8192,1,2,1,4
5120,32,8192,1,2,1,4
5120,48,8192,1,2,1,4
5120,64,8192,1,2,1,2
5120,80,8192,1,2,1,2
5120,96,8192,1,2,2,1
5120,112,8192,1,2,2,1
5120,128,8192,1,2,2,1
5120,144,8192,1,2,2,1
5120,160,8192,1,2,2,1
5120,176,8192,1,2,2,1
5120,192,8192,1,2,2,1
5120,208,8192,1,2,2,1
5120,224,8192,1,2,2,1
5120,240,8192,2,128,48,128
5120,256,8192,1,2,2,1
25600,16,5120,2,128,16,128
25600,32,5120,1,2,1,1
25600,48,5120,1,2,1,1
25600,64,5120,1,2,1,1
25600,80,5120,1,2,1,1
25600,96,5120,1,2,1,1
25600,112,5120,1,2,1,1
25600,128,5120,1,2,1,1
25600,144,5120,1,2,3,1
25600,160,5120,1,2,2,1
25600,176,5120,1,2,2,1
25600,192,5120,1,2,2,1
25600,208,5120,1,2,2,1
25600,224,5120,1,2,2,1
25600,240,5120,1,2,2,1
25600,256,5120,1,2,2,1
5120,16,25600,1,2,1,4
5120,32,25600,1,2,1,4
5120,48,25600,1,2,1,4
5120,64,25600,1,2,1,4
5120,80,25600,1,2,1,4
5120,96,25600,1,2,1,4
5120,112,25600,1,2,1,4
5120,128,25600,1,2,1,4
5120,144,25600,1,2,3,4
5120,160,25600,1,2,1,2
5120,176,25600,1,2,3,3
5120,192,25600,1,2,3,3
5120,208,25600,1,2,4,3
5120,224,25600,1,2,2,2
5120,240,25600,2,128,48,128
5120,256,25600,1,2,4,3
10240,16,5120,1,2,1,3
10240,32,5120,1,2,1,1
10240,48,5120,1,2,1,1
10240,64,5120,1,2,1,1
10240,80,5120,1,2,1,1
10240,96,5120,1,2,1,1
10240,112,5120,1,2,1,1
10240,128,5120,1,2,1,1
10240,144,5120,1,2,1,1
10240,160,5120,1,2,2,1
10240,176,5120,1,2,2,1
10240,192,5120,1,2,2,1
10240,208,5120,1,2,2,1
10240,224,5120,1,2,2,1
10240,240,5120,1,2,2,1
10240,256,5120,1,2,2,1
51200,16,5120,1,2,1,1
51200,32,5120,1,2,1,1
51200,48,5120,1,2,1,1
51200,64,5120,1,2,1,1
51200,80,5120,1,2,1,1
51200,96,5120,1,2,1,1
51200,112,5120,1,2,1,1
51200,128,5120,1,2,1,1
51200,144,5120,1,2,3,1
51200,160,5120,1,2,2,1
51200,176,5120,1,2,2,1
51200,192,5120,1,2,2,1
51200,208,5120,1,2,2,1
51200,224,5120,1,2,2,1
51200,240,5120,1,2,2,1
51200,256,5120,1,2,2,1
4096,16,8192,1,1,1,3
4096,32,8192,1,1,1,3
4096,48,8192,1,2,1,3
4096,64,8192,1,2,1,3
4096,80,8192,1,2,1,3
4096,96,8192,1,2,2,3
4096,112,8192,1,2,2,3
4096,128,8192,1,2,3,1
4096,144,8192,1,2,3,1
4096,160,8192,1,2,3,1
4096,176,8192,1,2,3,1
