m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
3072,16,1536,2,64,16,128
3072,32,1536,2,64,16,128
3072,48,1536,2,64,32,128
3072,64,1536,2,64,32,128
3072,80,1536,2,64,48,128
3072,96,1536,2,64,48,128
3072,112,1536,2,128,32,128
3072,128,1536,2,128,32,128
7168,16,2048,2,128,16,128
7168,32,2048,2,128,32,128
7168,48,2048,2,128,64,128
7168,64,2048,2,128,64,128
7168,80,2048,2,128,80,128
7168,96,2048,2,128,128,128
7168,112,2048,2,128,128,128
7168,128,2048,2,128,128,128
4608,16,7168,1,2,1,2
4608,32,7168,1,2,1,2
4608,48,7168,1,2,1,2
4608,64,7168,2,128,32,128
4608,80,7168,1,2,1,2
4608,96,7168,2,128,48,128
4608,112,7168,1,2,1,2
4608,128,7168,2,128,64,128
7168,16,2304,2,128,16,128
7168,32,2304,2,128,32,128
7168,48,2304,2,128,64,128
7168,64,2304,2,128,64,128
7168,80,2304,2,128,112,128
7168,96,2304,2,128,128,128
7168,112,2304,2,128,128,128
7168,128,2304,2,128,128,128
7168,16,256,2,128,112,128
7168,32,256,2,128,32,128
7168,48,256,2,64,48,128
7168,64,256,2,128,64,128
7168,80,256,2,128,64,128
7168,96,256,2,128,80,128
7168,112,256,2,128,96,128
7168,128,256,2,128,112,128
512,16,7168,1,1,1,4
512,32,7168,1,1,2,4
512,48,7168,1,1,3,4
512,64,7168,1,1,2,4
512,80,7168,1,1,3,4
512,96,7168,1,1,3,4
512,112,7168,1,1,3,4
512,128,7168,1,1,3,4
2112,16,7168,1,1,1,3
2112,32,7168,1,1,1,3
2112,48,7168,1,1,1,3
2112,64,7168,1,1,1,3
2112,80,7168,1,1,1,3
2112,96,7168,1,1,1,3
2112,112,7168,1,1,1,3
2112,128,7168,1,1,1,3
896,16,5120,1,1,1,4
896,32,5120,1,1,1,4
896,48,5120,1,2,3,4
896,64,5120,1,2,2,4
896,80,5120,1,2,3,4
896,96,5120,1,2,3,4
896,112,5120,1,2,3,4
896,128,5120,1,2,3,4
896,144,5120,1,2,3,4
896,160,5120,1,2,3,4
896,176,5120,1,2,3,4
896,192,5120,1,2,3,4
896,208,5120,1,2,4,3
896,224,5120,1,2,4,3
896,240,5120,1,2,4,3
896,256,5120,1,2,4,3
5120,16,640,2,64,32,128
5120,32,640,2,64,32,128
5120,48,640,2,64,48,128
5120,64,640,2,128,32,128
5120,80,640,2,128,48,128
5120,96,640,2,128,48,128
5120,112,640,2,128,64,128
5120,128,640,2,128,64,128
5120,144,640,2,128,80,128
5120,160,640,2,128,80,128
5120,176,640,2,128,96,128
5120,192,640,2,128,96,128
5120,208,640,2,128,112,128
5120,224,640,2,128,112,128
5120,240,640,2,128,128,128
5120,256,640,2,128,128,128
6912,16,5120,2,128,16,128
6912,32,5120,1,2,1,3
6912,48,5120,1,2,1,3
6912,64,5120,1,2,1,3
6912,80,5120,1,2,1,3
6912,96,5120,2,128,96,128
6912,112,5120,2,128,128,128
6912,128,5120,2,128,128,128
6912,144,5120,2,128,48,128
6912,160,5120,1,2,3,1
6912,176,5120,1,2,3,1
6912,192,5120,2,128,64,128
6912,208,5120,2,128,64,128
6912,224,5120,2,128,80,128
6912,240,5120,2,128,80,128
6912,256,5120,1,2,3,1
5120,16,3456,2,64,16,128
5120,32,3456,2,64,32,128
5120,48,3456,2,64,48,128
5120,64,3456,2,64,64,128
5120,80,3456,2,128,48,128
5120,96,3456,2,128,48,128
5120,112,3456,1,2,2,1
5120,128,3456,2,128,64,128
5120,144,3456,1,2,2,1
5120,160,3456,1,2,2,1
5120,176,3456,1,2,2,1
5120,192,3456,1,2,2,1
5120,208,3456,1,2,2,1
5120,224,3456,2,128,112,128
5120,240,3456,2,128,128,128
5120,256,3456,2,128,128,128
