m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
19072,16,5120,1,1,1,1
19072,32,5120,1,1,1,1
19072,48,5120,1,1,1,1
19072,64,5120,1,1,1,1
19072,80,5120,1,2,1,2
19072,96,5120,1,2,1,2
19072,112,5120,1,2,1,2
19072,128,5120,1,2,1,2
19072,144,5120,1,2,1,2
19072,160,5120,1,2,1,2
19072,176,5120,1,2,1,2
19072,192,5120,1,2,1,2
5120,16,3456,1,2,1,2
5120,32,3456,1,2,1,2
5120,48,3456,1,2,1,2
5120,64,3456,1,2,1,2
5120,80,3456,1,2,1,2
5120,96,3456,1,2,1,2
5120,112,3456,1,2,1,4
5120,128,3456,1,1,1,2
5120,144,3456,1,2,2,3
5120,160,3456,1,2,1,2
5120,176,3456,1,2,2,2
5120,192,3456,1,2,2,2
5120,16,640,1,2,2,1
5120,32,640,1,2,2,2
5120,48,640,1,1,1,2
5120,64,640,1,2,1,1
5120,80,640,1,1,1,2
5120,96,640,1,2,2,1
5120,112,640,1,1,2,1
5120,128,640,1,2,2,1
5120,144,640,1,2,2,1
5120,160,640,1,2,2,1
5120,176,640,1,2,2,1
5120,192,640,1,2,4,1
6912,16,5120,1,2,1,3
6912,32,5120,1,2,1,3
6912,48,5120,1,2,1,3
6912,64,5120,1,2,1,3
6912,80,5120,1,2,1,3
6912,96,5120,1,2,1,3
6912,112,5120,1,2,1,3
6912,128,5120,1,2,1,3
6912,144,5120,1,2,2,4
6912,160,5120,1,2,2,4
6912,176,5120,1,2,2,3
6912,192,5120,1,2,2,3
896,16,5120,1,1,1,4
896,32,5120,1,1,1,4
896,48,5120,1,1,1,4
896,64,5120,1,1,1,4
896,80,5120,1,2,2,4
896,96,5120,1,2,3,4
896,112,5120,1,2,3,4
896,128,5120,1,2,3,4
896,144,5120,1,2,3,4
896,160,5120,1,2,3,4
896,176,5120,1,2,3,4
896,192,5120,1,2,3,4
125696,16,4096,1,2,1,1
125696,32,4096,1,2,1,1
125696,48,4096,1,2,1,1
125696,64,4096,1,2,1,1
125696,80,4096,1,2,1,1
125696,96,4096,1,2,1,1
125696,112,4096,1,2,1,1
125696,128,4096,1,2,1,1
125696,144,4096,1,2,1,1
125696,160,4096,1,2,1,1
125696,176,4096,1,2,1,1
125696,192,4096,1,2,1,1
125696,208,4096,1,2,2,1
125696,224,4096,1,2,2,1
125696,240,4096,1,2,2,1
125696,256,4096,1,2,2,1
12288,16,4096,1,2,1,1
12288,32,4096,1,2,1,1
12288,48,4096,1,2,1,1
12288,64,4096,1,2,1,1
12288,80,4096,1,2,1,1
12288,96,4096,1,2,1,1
12288,112,4096,1,2,1,2
12288,128,4096,1,2,1,2
12288,144,4096,1,2,1,1
12288,160,4096,1,2,1,1
12288,176,4096,1,2,1,1
12288,192,4096,1,2,1,1
12288,208,4096,1,2,2,1
12288,224,4096,1,2,2,1
12288,240,4096,1,2,2,1
12288,256,4096,1,2,2,1
4096,16,4096,1,2,1,2
4096,32,4096,1,2,1,2
4096,48,4096,1,2,1,3
4096,64,4096,1,1,1,3
4096,80,4096,1,2,1,3
4096,96,4096,1,2,1,3
4096,112,4096,1,2,2,3
4096,128,4096,1,2,2,3
4096,144,4096,1,2,3,2
4096,160,4096,1,2,2,3
4096,176,4096,1,2,3,2
4096,192,4096,1,2,3,2
4096,208,4096,1,2,2,3
4096,224,4096,1,2,2,3
4096,240,4096,1,2,2,3
4096,256,4096,1,2,2,3
11008,16,4096,1,2,1,1
11008,32,4096,1,2,1,1
11008,48,4096,1,2,1,1
11008,64,4096,1,2,1,1
11008,80,4096,1,2,1,1
11008,96,4096,1,2,1,2
11008,112,4096,1,2,1,2
11008,128,4096,1,2,1,2
11008,144,4096,1,2,1,1
11008,160,4096,1,2,1,1
11008,176,4096,1,2,1,1
11008,192,4096,1,2,1,1
11008,208,4096,1,2,2,1
11008,224,4096,1,2,2,1
11008,240,4096,1,2,2,1
11008,256,4096,1,2,2,1
4096,16,11008,1,2,1,2
4096,32,11008,1,2,1,2
4096,48,11008,1,2,1,3
4096,64,11008,1,1,1,3
4096,80,11008,1,2,1,3
4096,96,11008,1,2,1,3
4096,112,11008,1,2,1,3
4096,128,11008,1,1,1,3
4096,144,11008,1,2,1,3
4096,160,11008,1,2,1,3
