m,k,BLOCK_DIM_X,KernelId,KernelParam1,KernelParam2
19008,5120,256,1,1,8
5120,3424,512,1,1,2
5120,640,512,1,1,1
6848,5120,64,1,1,4
896,5120,128,1,1,2
125696,4096,256,1,1,3
12288,4096,512,1,1,1
4096,4096,128,1,2,1
11008,4096,512,1,1,1
4096,11008,128,1,2,1
27392,4096,256,1,1,6
4096,13696,512,1,1,3
4096,4096,128,1,2,1
4608,4096,128,1,2,1
65024,4096,256,1,1,6
13696,4096,256,1,1,8
8000,6656,64,1,1,8
4992,6656,64,1,1,5
6656,1664,64,1,1,1
8960,6656,256,1,2,1
6656,4480,512,1,1,2
6144,8192,256,1,1,2
8192,2048,256,1,2,1
5504,8192,256,1,1,1
11008,8192,512,1,1,1
8192,5504,128,1,1,2
3072,8192,256,1,1,2
8192,1024,512,1,1,1
2752,8192,256,1,1,2
5504,8192,256,1,1,6
8192,2752,256,1,2,1
8000,8192,128,1,1,2
2560,8192,256,1,1,2
8192,2048,256,1,2,1
14336,8192,128,1,1,6
8192,7168,512,1,1,3
1280,8192,256,1,1,4
4000,8192,128,1,2,1
7168,8192,1024,1,1,3
8192,1024,512,1,1,1
8192,3584,128,1,1,2
32000,4096,256,1,1,8
12288,4096,256,1,1,1
4096,4096,256,1,1,3
22016,4096,256,1,1,7
4096,11008,256,1,2,2
2560,8192,256,1,1,2
8192,2048,256,1,2,1
8192,7168,128,1,1,2
14336,8192,128,1,1,5
32064,8192,256,1,1,7
1280,8192,256,1,1,4
7168,8192,1024,1,1,3
8192,1024,512,1,1,1
8192,3584,256,1,2,1
16032,8192,256,1,1,7
32000,5120,64,1,1,7
15360,5120,256,1,1,8
5120,5120,256,1,1,1
13824,5120,64,1,1,7
27648,5120,256,1,1,7
5120,13824,256,1,1,1
16,6144,512,2,512,0
1024,6144,256,1,1,5
6144,768,512,1,1,1
4000,6144,128,1,2,1
16,4096,512,2,256,0
1536,4096,256,1,1,3
4096,1024,256,1,1,1
2560,8192,256,1,1,2
8192,2048,256,1,2,1
14784,8192,128,1,1,4
8192,7392,256,1,2,1
38016,8192,64,1,1,8
4096,6144,128,1,2,1
6144,2048,256,1,1,2
4608,3584,128,1,2,1
3584,3584,512,1,1,3
37888,3584,128,1,1,6
3584,18944,512,1,1,3
3072,1536,256,1,1,1
7168,2048,256,1,2,1
4608,7168,128,1,2,1
7168,2304,1024,1,1,3
7168,256,512,1,1,1
512,7168,128,1,1,3
896,5120,128,1,1,2
5120,640,512,1,1,1
6912,5120,1024,1,1,3
5120,3456,512,1,1,2
2112,7168,256,1,1,3
