m,k,BLOCK_DIM_X,KernelId,KernelParam1,KernelParam2
19008,5120,256,1,4,5
5120,3424,1024,2,16,0
5120,640,256,2,2,0
6848,5120,256,1,3,2
896,5120,256,2,16,0
125696,4096,256,1,1,3
12288,4096,256,1,2,1
4096,4096,256,2,4,0
11008,4096,256,1,3,1
4096,11008,256,1,2,2
27392,4096,256,1,1,6
4096,13696,256,1,4,5
4096,4096,512,2,8,0
4608,4096,256,1,4,4
65024,4096,256,1,1,7
13696,4096,256,1,3,1
8000,6656,256,1,2,1
4992,6656,256,1,1,4
6656,1664,1024,2,8,0
8960,6656,256,1,2,1
6656,4480,256,1,5,3
6144,8192,256,1,2,2
8192,2048,256,2,2,0
5504,8192,256,1,3,2
11008,8192,256,1,2,7
8192,5504,256,1,4,2
3072,8192,256,1,3,4
8192,1024,512,2,4,0
2752,8192,256,1,2,4
5504,8192,256,1,3,2
8192,2752,256,1,5,3
8000,8192,256,1,2,1
2560,8192,256,1,2,4
8192,2048,512,2,4,0
14336,8192,256,1,4,1
8192,7168,256,1,3,4
1280,8192,512,2,16,0
4000,8192,256,1,2,2
7168,8192,256,1,3,2
8192,1024,512,2,4,0
8192,3584,256,1,1,8
32000,4096,256,1,1,5
12288,4096,256,1,4,1
4096,4096,256,2,4,0
22016,4096,256,1,1,6
4096,11008,256,1,3,4
2560,8192,256,1,2,4
8192,2048,1024,2,8,0
8192,7168,256,1,3,2
14336,8192,256,1,4,1
32064,8192,256,1,1,7
1280,8192,256,2,8,0
7168,8192,256,1,4,2
8192,1024,1024,2,8,0
8192,3584,256,1,2,1
16032,8192,256,1,4,1
32000,5120,256,1,1,6
15360,5120,256,1,3,1
5120,5120,256,1,5,4
13824,5120,256,1,3,1
27648,5120,256,1,5,1
5120,13824,256,1,2,7
16,6144,256,1,1,8
1024,6144,512,2,32,0
6144,768,512,2,4,0
4000,6144,256,1,3,3
16,4096,256,1,2,8
1536,4096,512,2,16,0
4096,1024,1024,2,16,0
2560,8192,256,1,5,8
8192,2048,512,2,4,0
14784,8192,256,1,1,8
8192,7392,256,1,5,3
38016,8192,256,1,1,4
4096,6144,256,1,4,4
6144,2048,1024,2,8,0
4608,3584,64,1,3,1
3584,3584,512,2,8,0
37888,3584,128,2,8,0
3584,18944,64,1,3,1
3072,1536,64,1,4,1
7168,2048,128,1,4,1
4608,7168,512,1,4,7
7168,2304,128,1,4,1
7168,256,256,1,4,1
512,7168,64,1,1,2
896,5120,64,1,4,4
5120,640,256,2,2,0
6912,5120,256,1,4,2
5120,3456,512,2,4,0
2112,7168,256,1,1,3
