m,k,BLOCK_DIM_X,KernelId,KernelParam1,KernelParam2
2112,7168,64,1,1,8
3072,1536,256,1,1,3
7168,2048,256,1,1,4
7168,256,512,1,1,1
512,7168,256,1,1,8
4608,7168,256,1,1,7
7168,2304,256,1,1,5
7168,5120,256,1,1,7
5120,5120,256,1,1,5
55296,5120,256,1,2,3
5120,27648,256,1,2,5
8192,5120,256,1,1,3
1024,5120,256,1,1,7
5120,8192,64,1,1,6
25600,5120,64,1,2,3
5120,25600,64,1,2,7
10240,5120,128,1,2,5
51200,5120,64,1,2,2
4096,8192,128,1,1,8
512,8192,64,1,1,7
8192,4096,64,1,1,4
14336,8192,256,1,3,4
8192,14336,256,1,2,8
5120,8192,64,1,1,5
28672,8192,128,1,2,4
1024,5120,64,1,1,7
128,5120,256,1,1,8
5120,1024,256,1,1,2
3200,5120,256,1,1,6
5120,3200,64,1,1,5
1280,5120,512,1,1,8
6400,5120,256,1,2,4

